example_id,conversation_root,message_count,conversation,support_type,intent,escalation,notes
61,511925,6,"1. @237714 We have an ETD of 6:50p. We're very sorry for the extra travel time.
2. @AmericanAir Yeah, I already know that. I'm asking why the ETD changed multiple times in less than a minute, sending me a text message, app notification and e-mail EACH TIME.
3. @237714 We're sorry for the incorrect ETDs, and appreciate your patience during that.
4. @AmericanAir Can you give me any info on the cause of the delay?
5. @237714 The delay is currently due to a late arriving crew. Once we have everyone in place, we'll get the flight underway.
6. Uhh @AmericanAir wtf is going on with flight 2098? The departure time keeps changing back and forth, I got like 5 notification in 1 minute...",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
62,396238,5,"1. @209821 We'r glad it's been resolved for you now! Please DM your flight details if you need any help again.
2. @AmericanAir It hasn't been resolved hence the word NOT.
3. @AmericanAir My problem was NOT resolved and I was hung up on. It's completely inexcusable
4. @209821 Katie, we thank you for booking with us and apologize for any rudeness you experienced. We expect our team to be professional and friendly.
5. @AmericanAir should be a lot friendlier to the people who book the flights for their company. Happy to switch to @Delta @JetBlue",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
63,255655,2,"1. @176801 Lithium ion batteries over 100Wh are limited to 2 per customer.
2. @AmericanAir Is 176Wh Lion Battery too big for carry-on? Its for a @13184 #M210 #SearchandRescue Drone. Limit on Quantity?",SUPPORT,Baggage,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
64,157157,2,"1. @149548 Yep! It's a fallstreak hole which is a large gap, usually circular or elliptical, that can appear in cirrocumulus or altocumulus clouds.
2. Hey @AmericanAir , did you ever figure out what that hole was? I'm really curious. https://t.co/xB7gXyzMnq",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
65,536246,2,"1. @244244 We're sorry to hear your mother was sick this morning. Please follow, provide your record locator and share with us more details via DM.
2. @AmericanAir doesn’t care about cancer patients. Charges the terminally ill when they’re too sick to make a flight @24374 #AmericanAirlines",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
66,166825,5,"1. @154762 We do our best to always be ready to go for you, but safety is our top priority. We're estimated to leave now at 6:20p.
2. @AmericanAir No no it is not! We officially have no plane! Of course we would all like to be safe I would also like to GO HOME!!!! and not have to spend money on airport food! And not have to sit in a gross airport!!!  Or have to rebook my flight! 😡😡 Gather your life @AmericanAir
3. @AmericanAir AA 4358 but does the flight number matter I can’t fly with y’all with out a delay it’s almost like a running joke on me.
4. @154762 We know you're ready to be on your way, Antoinette. What's your flight number, we'll check on an update?
5. Breaking my twitter hiatus because WHY CANT I FLY @AmericanAir WITH OUT A DELAY!?!?! 3 HOURS American! 3 hours!  #runmemycoinback",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
67,487041,2,"1. @229391 No problem, John! We're always here to help.
2. Thanks @AmericanAir for quickly resolving my TSA PreCheck issue! #greatcustomerservice https://t.co/Z1vBmUCb1g",SUPPORT,Check-in & Airport,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
68,437502,8,"1. @218897 We're sorry to hear this. Please file a claim with our specialists by calling 800-866-4010.
2. @AmericanAir I've tried to call 3 times now but am continuously being placed on long holds
3. @218897 We appreciate your patience while waiting on the line. We'll have someone to assist as soon as possible.
4. @AmericanAir 4th time trying to call and on hold AGAIN. I can't sit around all day trying to be connected with someone to talk to about this.
5. @218897 Your time is important and we're aware. We'll get to you ASAP!
6. @AmericanAir I hung up because I value my time and I'm on vacation.
7. @AmericanAir I just know I'll never fly @AmericanAir again since their employees are awful people.
8. Left my purse on an @AmericanAir flight (got it back) but $40 is missing out of my wallet so that's awesome!!!",SUPPORT,Baggage,ESCALATE,Support issue likely requires case-specific or human handling.
69,408877,3,"1. @212477 Hi Adam, I am reviewing your reservation now. Thanks for your patience as we have been very busy today. *TSE
2. @Delta PHL&gt;RDU cancelled and rebooked for 24hr later. No hotel voucher, no apology, and rude agents. Guess who's flying @AmericanAir ?
3. @212477 We know this one: Adam will be flying with us! You'll have an #AAwesome trip.",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
70,337839,5,"1. @196638 We're sorry this has been your experience. Please let us know if we can help in someway.
2. @AmericanAir Refund process is broken. Misleading upgrade offers when checking in on mobile app. Glad to talk with someone who can help.
3. @196638 We're here for you. DM your record locator and details.
4. @AmericanAir @196638 Sorry Chuck, par for the course for #AAteam 
Let me tell you about the time cust ser told me to throw my luggage in the trash to make flight
5. Not at all happy with my interaction with @AmericanAir .  #CustomerService is an oxymoron with them.  #misleading",SUPPORT,Refund & Compensation,ESCALATE,Support issue likely requires case-specific or human handling.
71,288574,2,"1. @184753 We don't want that title! Please let us know if you need any travel help.
2. @AmericanAir is the worst airline",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
72,34792,3,"1. @123552 It's delayed due top prior maintenance issues and is estimated to leave now at 9a.
2. @AmericanAir Plane still not at gate, maybe you could ask the agent to let the mob know the status @AmericanAir #service please
3. @AmericanAir any update on 2357 to PIT?",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
73,418486,6,"1. @214846 Bad weather caused many of our flights to cancel or get delayed. Our airport team can offer you seat options when you check-in.
2. @AmericanAir What about the plane I’m sitting on now that hasn’t moved and was supposed to leave at 2:27.......
3. @AmericanAir An update as to why weve been on the runway for 40 mins would have been nice #neverflyingamericanagain
4. @214846 We'd like to check on an update for you. What's the flight number?
5. @AmericanAir I shouldn’t have to tweet to get an update....
6. @AmericanAir $150 in charges for extra room seats because that’s the only flight into jfk tomorrow?And your response is “LGA isn’t too far”",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
74,241501,2,"1. @173341 Aww, we appreciate your kind words. We're always happy to help when we can.
2. Cant be more #thankful for #goldstar #customerservice #thankyou @AmericanAir for ur help last second so I can focus on fixing my broken foot",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
75,401044,4,"1. @210856 We see you're on your way now, Betty. Thanks so much for your patience this afternoon.
2. @AmericanAir And thank you for the warm cookies and the free wine! 😍😍😍
3. @210856 You're very welcome! Thanks for flying with us.
4. 3.5 hour delay on AA #66 SFO &gt; JFK 😰😰😰 @AmericanAir",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
76,42800,3,"1. @125472 If free seats are no longer available, our airport team is happy to assist in assigning one the day.
2. @AmericanAir AA misleads us intentionally
3. @AmericanAir

Flew from STS on a 2/3 full flight.  Could not select a seat, forced to pay 33 dollars for a seat!

Nickel and diming America",SUPPORT,Seats & Upgrades,ESCALATE,Support issue likely requires case-specific or human handling.
77,338278,2,"1. @196749 What's going on, Jenna? DM your record locator and details if we can assist.
2. @AmericanAir I gave you a second chance after April’s Mexico fiasco... shouldn’t have bothered. Never again... you suck, literally",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
78,226194,4,"1. @170000 We're very sorry for the confusion. Let us know if we can assist here.
2. @AmericanAir The lady at the front desk said to contact American for reimbursement for our car and hotel. Not sure who to contact, they got us on the next flight tomorrow morning but still had to get a car and a room for the night. Can you let me know who to contact for the extra costs?
3. @170000 We're not able to reimburse car rentals. Please DM your record locator.
4. @AmericanAir had a flight booked at 12:35 today got to the airport they said that flight didn’t even exists last flight to PH already left... Had to rent a car and stay at a hotel with my family 😫 https://t.co/uXevS6rq50",SUPPORT,Refund & Compensation,ESCALATE,Support issue likely requires case-specific or human handling.
79,391838,4,"1. @208778 Our maintenance team is working hard to get things squared away and on your way with a current 12:05p departure.
2. @AmericanAir So two hour delay w little communication. Fun stuff. Sticking with Southwest from here on out.
3. @208778 We love flying with you and understand communication is key. Our crew will have you in the clouds the moment they're able.
4. @AmericanAir What’s up with American Airlines flight 1622? Sitting on tarmac w no explanation",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
80,278760,3,"1. @182475 We're happy to have you on board with us. Tell her we said ""Hi!""
2. @AmericanAir Thank you and I will ❤️ - you guys are the best! Thank you for all the help &amp; support along the way.
3. Off to #StThomas - on @AmericanAir via @150414  from @133384 - can’t wait to hug my daughter #VISTRONG ✈️❤️🇻🇮 https://t.co/r4H6w6yORo",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
81,83921,2,"1. @134442 We know being delayed can be frustrating. We'll get this taken care of quickly and get you headed out. Thanks for your patience.
2. @AmericanAir nearly 1hr late because we had to return to gate &amp; refuel plane...with water for the toilets. Why didn’t this happen before boarding when passengers &amp; plane hung out at the gate for an hour? https://t.co/sx9CtHnuVN",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
82,178387,2,"1. @158056 We're sorry for the maintenance cancellation today, Josh. If you'd like to leave from RDU in the morning, please DM us.
2. My start to #FemRhet17 

@AmericanAir you're the worst https://t.co/tT6Og3WwK9",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
83,341082,2,"1. @197488 Please DM your record locator. We'd like to take a closer look.
2. @AmericanAir WOW 1 hour 5 Minutes waiting for a gate MIAMI and still nothing connection lost, etc Fl 2703 Oct 7 POS  / MIA",SUPPORT,Check-in & Airport,ESCALATE,Support issue likely requires case-specific or human handling.
84,304083,7,"1. @188603 We're very sorry for the delay, Rodolfo. What's your flight number, we'll check on an update?
2. @AmericanAir Hello American, flight 3684 destination to DFW from XNA   and no signs on status yet
3. @188603 We're showing you're estimated to depart at 6p. You can sign up for notifications if you'd like: https://t.co/h88H9iXqqT
4. @AmericanAir Its says so but the kind ladies here have no idea of what's going on.
5. @188603 It's been delayed due to maintenance. We're sorry for the wait. We're working hard to get you in the air as soon as possible.
6. @AmericanAir I know you are guys, we appreciate that, now the other flight is delayed, hopefully this doesn't costs a lot of loyalty.
7. Second time in a row @AmericanAir  has let me down... I still have faith. Thanks guys. Keep delaying everybody's meetings, loved ones etc.",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
85,116772,6,"1. @142013 You're frustrated, we get it. In order for us to file a claim for possible reimbursement, we'll need to inspect your bag.
2. @AmericanAir Can you send someone to my hotel? Im just 10 miles from the airport.
3. @142013 That's not possible. Sorry, Ajay.
4. @AmericanAir I'm already back at my hotel. Do you expect me to travel to the airport to show you the damage?
5. @142013 Oh, please file a report with our Baggage team at the airport. They'll physically assess any damages done to your bag.
6. @AmericanAir Thanks for damaging my suitcase in spite of paying a total of 60 USD for 2 pieces of luggage. #Thanksgiving2017",SUPPORT,Baggage,ESCALATE,Support issue likely requires case-specific or human handling.
86,285422,4,"1. @183999 We're sorry that option didn't work for you but we'll have you on your way soon. We're thrilled to fly with you today.
2. @AmericanAir $20 is small. $75 not so much.
3. @183999 Some tickets are more flexible than others, there's an option for Same day flight change for a small fee.
4. @AmericanAir Empower your gate agents. I was just told a flight was leaving with empty seats but I couldn't get on without a fee. #nosense",SUPPORT,Booking & Payment,ESCALATE,Support issue likely requires case-specific or human handling.
87,273465,7,"1. @181321 We always want to keep you with your bad, Michele. We're so sorry for the inconvenience this evening.
2. @AmericanAir You wanna reread that response @AmericanAir? My ""bad""? Because that's a perfect example of just not caring.
3. @181321 Our apologies, Michele. We're human and we make mistakes. We meant to say bag.
4. @AmericanAir Thanks for super helpful reminder. I believe @Delta @SouthwestAir @116450 @VirginAmerica all also have humans. Maybe theirs will be better.
5. @181321 @AmericanAir @Delta @SouthwestAir @116450 @VirginAmerica And on #CustomerServiceWeek2017 - #shame
6. @181321 @AmericanAir @Delta @SouthwestAir @116450 @VirginAmerica Well @AmericanAir - this human will find an airline with less snark and more genuine customer service...as will our employees #EpicFail
7. @AmericanAir Can you explain how a bag I brought on your plane is suddenly ""too large"" for the return flight? Glad I paid to upgrade. #fraud",SUPPORT,Baggage,ESCALATE,Support issue likely requires case-specific or human handling.
88,9462,2,"1. @117697 Oh my, please DM your record locator and include your email &amp; mailing address. Lastly, provide as many details as possible.
2. Hey @AmericanAir! I got food poisoning from your inflight meal on Sunday. Just a heads up in case you want to look in to that. https://t.co/KgiWcryFNY",SUPPORT,Onboard Services,ESCALATE,Support issue likely requires case-specific or human handling.
89,488967,8,"1. @231442 Yes, that's the plan.
2. @AmericanAir So, still haven’t received any updated information on departure arrival information of this flight.  This really sucks that for normal operations your communication is great through the flight status process , but when something goes off track like a diversion there are no update
3. @AmericanAir I think it’d be great idea to communicate through the folks that have set up flight status messages, the updates to the flight plan when it’s diverted
4. @231442 It looks like they just landed at LAX, at gate 42B. Thanks for your patience.
5. @AmericanAir Ok
6. @AmericanAir So they are going to continue on to LAX ?   What kind of weather condition is here, I’m here and aside from being over cast clouds I don’t see any other extreme weather
7. @AmericanAir AA flight 1246 diverted and I’m not receiving any information on why or what the plan is. 

Not a great experience to leave passengers loved ones stranded with No information.  Some like such a simple thing to put in place comm.  plans for situations such as the this
8. @231442 We're here to keep you in the loop, Joe. The plane diverted to Ontario due to weather conditions, but should be airborne again soon!",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
90,49364,2,"1. @127039 We want your check in process to be as smooth as possible. We're very sorry for the wait, Cristina.
2. @AmericanAir cuál es el punto de hacer self check in para luego hacer una fila de hora y media para una asistencia que NO necesito",SUPPORT,Check-in & Airport,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
91,407194,2,"1. @212055 Your comment concerns us, Please meet us in DM with your six letter confirmation.
2. Never flying @AmericanAir again. Most inconvenient airline out there.",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
92,511988,5,"1. @237718 On time flights are the plan, however for the safety of our customers, delays can happen. Please let us know if you need rebooking help.
2. @AmericanAir The flight was not delayed it was completely cancelled with no explanation
3. @237718 We're glad to see you're confirmed on the next flight. We have a link you can use to track your bag: https://t.co/vpkBeWiqTq
4. @AmericanAir Not so much as an offer for a drink voucher or ANYTHING
5. @AmericanAir really ridiculous and I’ve never had this type of service from any other airline. You’re losing a customer. I should have stuck with @JetBlue !!!!!",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
93,240372,3,"1. @173093 We take excellent care of the little ones that travel with us. Please let us know if we can help you.
2. @AmericanAir LIES LIES LIES
3. @AmericanAir The airline that loses children, seats pedophiles next to lone children.
The ""american"" way it would seem.",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
94,431703,2,"1. @217637 We do have a travel alert in place for customers traveling from STS. https://t.co/kNkPUilgez
2. @AmericanAir Apparently doesn't give two shits about people effected by the wild fires in Sonoma County. Never flying with them again. 🤬🤬🤬",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
95,201572,2,"1. @163606 We want our customers to be aware of the great deals offered with the cards, Steve. Thanks for your understanding.
2. @AmericanAir pls stop peddling credit cards onboard flights. pitching cards over the intercom EVERY flight just a joke. #useyourwebsite",SUPPORT,Onboard Services,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
96,466931,6,"1. @225453 We're truly sorry that your travel has been affected. We've got an estimated departure time of 12:30a.
2. @AmericanAir Quit updating your goddamn app. They’re putting us up in a hotel. No luggage though so we can’t brush our teeth. I will never fly you ever again. This has been beyond horrible
3. @AmericanAir I cannot believe this. You all truly should be ashamed of how this situation has been handled.
4. @AmericanAir It’s 12:11 and we still haven’t been given an update by anyone other than the “12:30 departure time” on our phones. That’s not much help.
5. @AmericanAir Oh - actually, just got an update. THEY ARENT FLYING US.
6. I honestly have never had a worse experience than this evening with @AmericanAir, and that includes a 12-Hour flight delay with Southwest I once had. AA is an embarrassment &amp; the AA staff @150414 are truly awful. Honestly this has to be a joke.",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
97,36777,4,"1. @124026 Please see here for more info regarding filing a claim: https://t.co/c2WPmpJSpV
2. @AmericanAir I'm already at another terminal boarding another flight. How should I proceed from here? It was too tight to stop and chat with an agent.
3. @124026 Please see our airport Baggage team. They can review this for you, Renee.
4. Dear @AmericanAir,
Arrived to YYZ today (AA2468 &amp; AA1359) to find luggage covered in an unknown viscous fluid. Who to speak to re: damages? https://t.co/SwXvZI4iUP",SUPPORT,Baggage,ESCALATE,Support issue likely requires case-specific or human handling.
98,165215,2,"1. @154302 We're working on modernizing our entire fleet, Samantha. Thanks for hanging in there.
2. I cant believe that there are still airlines that make you pay for wifi... have no tvs... and have 6 inches of leg room. you win worst of the worst @americanair",SUPPORT,Onboard Services,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
99,312876,2,"1. @190720 We wish it was #FirstClassFriday, but we'll Wing it with ya!
2. #WingFriday #PHX @AmericanAir https://t.co/NTzIIXvpaC",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
100,34802,4,"1. @123554 It's going to be another great journey and we're very happy to have you on board. Let the #AAdventure begin!
2. @123555 @AmericanAir Flying to Seoul from the states, so you’ll see plenty of me today!
3. @123554 @AmericanAir Hi Spencer! So happy to have you sharing your happy moment with us:) Where are you flying to this time? -Dan
4. The birthday trip begins with Flagship First Dining and continues with @123555 first class. Can’t wait to fly! https://t.co/rS4XqJBijo",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
101,102328,2,"1. @138456 We appreciate you letting us know what happened at SMF. We depend on our customers feedback for an insight on how we're doing.
2. @AmericanAir You were understaffed 11/18 in SMF. I checked in the day before and waited 45 minutes to drop off my bag. You then tell me it's my fault for not telling you? If you have multiple 6AM flights, you need more than 4 counter agents.",SUPPORT,Check-in & Airport,ESCALATE,Support issue likely requires case-specific or human handling.
102,497945,2,"1. @160045 We enjoyed reading your blog and appreciate you including us in your travel plans, Simon!
2. @6530 - with @AmericanAir #FirstClass help, will be coming to see them, from #CaymanIslands, in a few weeks. #travelblog https://t.co/HPm4Zbwqzf https://t.co/j1PiRRhnhi",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
103,38366,4,"1. @124348 We love hearing that Michelle is really knocking it out of the park today and taking excellent care of everyone. #AATeam
2. @AmericanAir Please recognize her. She is amazing!
3. @124348 We sure will!
4. @AmericanAir currently on ✈️ AA4683 from XNA to LGA. Flight Attendant Michelle is one of your best #positive #friendly #pleasant experience",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
104,100583,5,"1. @137997 An on-time departure is always the goal and we apologize for the wait. Our team will have you up and on your way as quickly as we can.
2. @AmericanAir @137997 But what happens when you consistently fail to meet your goals?
3. @137998 @137997 @AmericanAir If you're Tesla, you continue to take in oodles of investor money
4. @AmericanAir Pro tip, @americanair: If your pilots would show up more than 240 seconds before scheduled takeoff, they’d have more time to deal with your disintegrating airplanes.
5. Another day, another opportunity to get f—-d by @AmericanAir.",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
105,296503,3,"1. @186619 We don't want that, John. Please let us know if you need some help with your travels.
2. @AmericanAir Already DM’d.
3. You SUCK, @AmericanAir",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
106,496265,3,"1. @233380 We're absolutely thrilled hearing Bernice is taking really good care of our customers! DM us your record locator, please.
2. @AmericanAir Excited to share! Just sent my information. Thanks!
3. Huge thank you to Bernice C @AmericanAir @129841 for making my day after leaving my bag on plane. She was able to resolve issue in no time. Best customer service!!! 🙌🏻",SUPPORT,Baggage,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
107,530146,2,"1. @242770 We're so sorry for the delay, Ben. The safety of our customers and crew is our top priority. We'll have you on the way as quickly as we can.
2. Take off delayed more.. are you kidding me! Been on this plane for 30+ minutes! @AmericanAir #notcool",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
108,536280,2,"1. @244252 It's always nice to sit up front, Betty! Thanks for hanging out with us this morning.
2. What do I 💜 about first class to #Dallas on @AmericanAir?! 😏#saturdaymorning https://t.co/33mdlXvOXP",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
109,360345,4,"1. @201341 We're showing a current departure time of 3:30p due to a previous maintenance delay. Our team will have you on your way ASAP.
2. @AmericanAir I'll believe it when I see it. They say We'll get to Albany at midnight tonight? Seriously??? Wish I booked @43136 or ANY other.
3. @AmericanAir I've flown @SouthwestAir hundreds of times &amp;have NEVER had a maintenance delay! Haven't flown @AmericanAir in a while, now I know why.
4. Don't ever fly @AmericanAir cuz you'll be sorry. Never again. Stranded in #Bahamas",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
110,359354,4,"1. @201103 Our sincere apologies for the delay. If you let us take a look at your record locator via DM, we'll check on your connection.
2. @AmericanAir Franco at gate H1B is in the process of trying to save the day for us. Thank you @AmericanAir for getting back to me.
3. @201103 That's great to know! We know you're in good hands with Franco. We'll be here just in case you need us.
4. You are killing me @AmericanAir our flight hasn’t left ORD. At our second gate and it looks like we will land after our connection takes off",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
111,157153,7,"1. @152098 It is a busy holiday season, and lines can be pretty long. We know it's disappointing to miss out on family time.
2. @AmericanAir You can make it up to me by doubling my miles earned on my first flight :)
3. @152098 To ensure your bags make all your flights, we do ask that you check them back in if you're booked in separate reservations.
4. @AmericanAir No they're not but that hasn't stopped other airlines from being able to do it
5. @152098 Are your flights all in the same reservation? We can double check for you, if you meet us in DM with your record locator.
6. Glad I have a long layover because @AmericanAir is incapable of checking my bag all the way through so I get to go through security again YAY
7. @AmericanAir Was supposed to meet my brother at the Admirals Club but now I will instead be waiting in security lines on a holiday again. Def not paying for access now.",SUPPORT,Baggage,ESCALATE,Support issue likely requires case-specific or human handling.
112,297513,2,"1. @186871 Our pleasure! We do our best to impress and we're always here when you need us.
2. @AmericanAir thank you for helping me today! Very appreciative! Keep up the good work",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
113,541736,6,"1. @245713 We always want you to be updated, you can sign up for notifications on your flight here, https://t.co/OtDaH7XmLN.
2. @AmericanAir Yes I know where I should sign up but the flight I am tracking says on time when it’s actually delayed 75 minutes... 🙄
3. @245713 Ross, please DM your record locator so we can verify your flight details.
4. @AmericanAir Flight 645 OGG to PHX. Just landed over a hour late and @24626 was kind enough to notify me since your system said it was on time.
5. @245713 We're sorry for the wait, Ross. We do our best to update our information as it is received.
6. When third parties (@24626) know more about your flight status than your own systems... @AmericanAir",SUPPORT,Flight Disruption,ESCALATE,Support issue likely requires case-specific or human handling.
114,210854,4,"1. @165912 They may want to reach out to the Red Cross or an official local charity for help.
2. @AmericanAir That’s great : ) Just thought that since CLT was a hub, you might have a lead on how they can get transport... tnx for response!
3. @165912 We're working with the government and the Red Cross and have been on the ground from the beginning. See the latest: https://t.co/LS0P7pFEyZ
4. Any help? @AmericanAir @JetBlue @Delta @SouthwestAir @116450  https://t.co/Ut4RWFWMSe",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
115,418856,2,"1. @182474 We're thrilled to hear how awesome Lisa was and we'll proudly share your praises with her. #AATeam
2. @AmericanAir I was just on aa140 from DFW to SJC. Just wanted to say Lisa was an awesome flight attendant!",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
116,360830,5,"1. @201430 We'd be happy to check out available seat options with you in DM, please send us your record locator there.
2. @AmericanAir DM has been sent
3. @AmericanAir EVERYTIME I fly to California I can’t pick a decent seat!
4. @201430 We value and greatly appreciate your loyalty, what's going on that has you feeling otherwise?
5. The next two weeks (8 flights) will be the last on @AmericanAir ! Being a platinum member means nothing! Therefore I’ll move my business 👍🏼",SUPPORT,Seats & Upgrades,ESCALATE,Support issue likely requires case-specific or human handling.
117,337065,2,"1. @196423 What a great shot of that #prettybird!
2. The new Sheps Mound offers a great view of planes touching down 16R, here @americanair 73 is slowing down 16R @196424 (SYD/YSSY) after the flight from Los Angeles (LAX/KLAX) https://t.co/26AwHYYwTt",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
118,313084,2,"1. @190765 We're so sorry to hear your bag isn't with you. Please file a claim with our Baggage Service Office.
2. I am now in Charlotte. I was  guaranteed it would be on my flight, but it remains where I spent 7 hrs.. EXTREMELY disappointed @AmericanAir.",SUPPORT,Baggage,ESCALATE,Support issue likely requires case-specific or human handling.
119,422805,7,"1. @215678 We're sorry to hear that, smooth travel is always the goal and we'll have you on your way ASAP.
2. @AmericanAir And smooth sailing from here on out. Your flight attendant is fantastic, btw https://t.co/XmZokTXlba
3. @AmericanAir Ps - it's Miguel on AA 273 - he's great
4. @AmericanAir Had to go to other and shuttle back here cuz line past ticketing - actual terminal unusually empty - must be having issues in the front end https://t.co/nA6Vkft9Cp
5. @AmericanAir Flight attendant told me there's a big TSA staffing prob - they have been quitting in droves. Based on where the bottleneck is, makes sense
6. @215678 He's one of the best in the biz and we appreciate the shout-out to our #AATeam! We'll be sure to pass it along for you.
7. @AmericanAir @124202 is a worse shitshow than usual... was quicker to bus to the terminal from other than stand in their line!",SUPPORT,Check-in & Airport,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
120,502777,2,"1. @235137 Way to go, Paul! We'll be sure to pass along the kudos to our #AATeam.
2. Hey @AmericanAir, just want to shout out for Paul on AA1263 on 11/22, he was fantastic. He is an absolute credit to your customer service stocks. Employ more like him.",NON_SUPPORT,NON_SUPPORT,AUTO_HANDLE,"Social, praise, casual interaction, or no concrete support request."
121,283283,2,"1. @183485 Our gate team will make sure you get on the correct flight. Thanks for your patience.
2. Also @AmericanAir had two flights boarding next to each other at gates 45a and 45b. What’s up with that? #airplaneproblems #flying",SUPPORT,Check-in & Airport,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
122,477285,3,"1. @228430 You're very welcome! Tweet us if you need us.
2. @AmericanAir Thanks for the help! Especially this early in the morning!
3. @228430 We're looking at it now and we'll respond via DM.",SUPPORT,Other / General Support,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
123,300739,4,"1. @187710 We've got our wings crossed! Our gate agents will be able to keep you posted as to your position on the standby list.
2. @AmericanAir Thanks. So close, but so far away. Trying again on the next flight. #wingscrossed
3. @187710 Oh, man! We really thought we had this one!
4. Trying to get home early. #DC &gt; #DFW 2nd attempt @americanair standby #fingerscrossed #goinghome https://t.co/gqZhXS5L4P https://t.co/irvtkCFVLJ",SUPPORT,Flight Disruption,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
124,342733,4,"1. @197601 We're here for you anytime you need us! Have a great evening. Stay warm!
2. @AmericanAir All good. Not truly your fault. I just appreciate your responsiveness.
3. @197601 It's a chilly day for sure and we'll get your bag out you shortly. We appreciate the feedback and sorry for any inconvenience.
4. Standing on a tarmac in 40 degree weather to get planeside luggage is not cool. Do better @AmericanAir #DCA #americanair #travel https://t.co/rD49ZmGLyq",SUPPORT,Baggage,AUTO_HANDLE,Specific support issue that can reasonably be handled with standard information.
125,376872,2,"1. @205420 Please let us know how we can help.
2. @AmericanAir, you should really work on your customer service. The ways you try to scam your customers out of more money is gross",SUPPORT,Other / General Support,ESCALATE,Support issue likely requires case-specific or human handling.
