customer_text,americanair_response,customer_tweet_id,response_tweet_id,predicted_intent
@AmericanAir Can I get a seat in AA983???,@139625 We're trying to get you on and you're number one on the standby flight. Our apologies for the delay.,106593,106594,Seats & Upgrades
@AmericanAir AA2359 is delayed 4.5 hours!!! What's going on???,@139625 We're working on getting the plane ready to hit the skies. We're estimating to head out at 5:10p.,106592,106590,Flight Disruption
"@AmericanAir Great, thank you for the help! I know it's not your fault the computers glitched, but I hope you get it straightened out and play ""I'll Be Home for Christmas"" as the planes take off.",@139626 We're actually almost done straightening everything out and we'll be singing Home for Christmas all through the holidays!,106596,106598,Booking & Payment
I had a choice between @AmericanAir and Spirit for my flight home and I booked American because I assumed it was the better option 🙃,@139626 We're excited to have you flying with us! If you need anything let us know.,106597,106595,Booking & Payment
"Eugh @AmericanAir. Gave up 1st class seat for earlier standby flight 2c pregnant gf, flight delayed longer than original one #irony #rotten",@139627 We're so sorry for the wait and we want to get you there as soon as we can. Please follow-up with us via DM.,106601,106600,Seats & Upgrades
@AmericanAir They keep saying it'll be 7-10 business days yet I've been trying to get this fixed for almost 20 days,@139628 We'd like to take a look into this. DM your AAdvantage number and more info.,106604,106603,Other / General Support
"@AmericanAir  filet mignon in Business but beef cheeks in First? Where’s the sense? Mind you, it’s grey inside a la @2042 grey beef standards. Ho Hum, I expect better from you... https://t.co/HCpLOyVwUV","@134375 We're sorry we fell short on your expectations, Fin. We'll forward your feedback to our team.",106608,106606,Other / General Support
Hey @115913!  Thanks for the free WiFi on this @AmericanAir flight to Columbus! #TMobileWingman.,@139629 We love keeping you connected up high in the skies!,106614,106613,Flight Disruption
".@AmericanAir your customer services sucks, and so does your website. Step in to the 21st century please.","@139630 We always want you to receive top notch service and apologize for any web issues you're experiencing. How can we help you, Michael?",106616,106615,Other / General Support
Flying @AmericanAir to Florida and the plane is so small there isn’t even a first class. This isn’t a 45 minute flight guys. Wouldn’t a 737 make a little more sense?,@139631 We try to find the best options for our customers. We're sorry there wasn't First Class available on this flight.,106618,106617,Seats & Upgrades
Hope @AmericanAir gets this figured out before my holiday trip. Any talk of refunds so we can book on other carriers ? https://t.co/hQSE4Yub6G,@139632 We're getting our flights crewed and expect to avoid cancellations. We look forward to having you on board for your holiday trip.,106620,106619,Other / General Support
"@AmericanAir @139634 Do you have any sense of when we can breathe easy about our flights? I know you'll hear many stories, including our 10-year wedding anniversary trip to Hawaii that we've spent $$$ on, taken off of work for, taking our kid out of school... it's creating a lot of stress now.",@139633 We're working to get a crew for every flight and avoid canceling any during the holiday season.,106622,106621,Baggage
@AmericanAir But how will I be able to fly to these places over Christmas if you have no pilots,@139634 We know your holiday travel plans are important and we don't expect any cancellations.,104352,106623,Flight Disruption
@AmericanAir please post the affected flights that do not currently have a pilot.  I need to know if I must make other arrangements.  I will have an 89 yr old mother waiting for me!!!  No excuses! Be accountable! Take actions to communicate to your customers!!!!,@139635 We're working on getting a crew for every flight we have and expect no cancellations. We look forward to seeing you soon!,106626,106624,Flight Disruption
"@AmericanAir Hi, is there any information on cancelled flights from the Caribbean to Miami? I have 3 flights on December 17th and I am worried that any of them might be cancelled.",@139636 We're working hard to address the issue and expect to avoid cancellations this holiday season.,106628,106627,Flight Disruption
"@AmericanAir Okay, thank you! I called in and one of your representatives was super helpful... Too bad I forgot her name :(","@140096 We'd love to share the kind words with them, if you send us a DM with your record locator we'll be able to do so.",108571,108573,Flight Disruption
"@AmericanAir Hi, do I need to add a middle name to boarding pass, if the middle name is on my passport? Thanks.",@140096 Your first and last name are most important. Please contact our team for any other concerns about your upcoming travel at 800-433-7300.,108572,108570,Check-in & Airport
"@AmericanAir After 6 hours at the airport  I'm told by ur customer service agent she ""doesn't know where the plane is"" and she's also missing thanksgiving so no one should complain.  @AmericanAir",@140097 We know it's been a long travel day and glad to see you're on your way now. You're set to arrive in BOS at 3:20pm.,108575,108574,Baggage
@133377 @AmericanAir My daughter asked if we were taking an airplane from Manhattan to Long Island. I said: I wish but today we are taking a train. Not even a trAAin,"@140098 We love the way your daughter thinks and if there was a way, we'd find it!",108578,108577,Baggage
"@AmericanAir Great job at the MIA to CHS on flight -girl at the back caucausian one
plus T. Jones-who is Afro-american at MIA ENVOY/AA-brutally honest, Highly helpful like mother teresa even though they call me- she needs a real pat, other guy who was with her at that time...",@140099 It makes us so happy that you're recognizing many of our #AATeam members on such an important day. Please check your DM.,108585,108584,Flight Disruption
Thanks for losing my bag! @AmericanAir,@140100 Please ensure you speak with our team before leaving the airport to set up a report: https://t.co/Lts67cwTlN,108588,108586,Baggage
@AmericanAir Thanks so much and also thanks for the follow. Will be seeing Miranda Lambert in March in Omaha. So will be back on board again. Happy thanksgiving,"@140501 We're excited just as much as you're, what an adventure to come. Best wishes and happy holidays! #thanksgiving",110310,110309,Check-in & Airport
@AmericanAir This is my airline. Can I get a follow?,"@140501 We appreciate you, David, and we can't wait to have you on board again!",110312,110311,Flight Disruption
@AmericanAir what is wrong with this picture? https://t.co/E4LiubWCsk,@140502 We're sorry for the late departure and we'll have you in the air very soon.,110314,110313,Seats & Upgrades
"@AmericanAir Overall, good flight, and excellent crew. We landed early, but I’d rather sit in the lobby for an extra 30min than the tarmac.","@140503 We completely understand, Erik, but we're happy the rest of the trip was good!",110317,110316,Flight Disruption
"Annnnd, I see @AmericanAir regional flights are still going with “we pulled back the jetway so we totally departed in time.” 😐","@140503 We'll have you wheels up and on your way shortly, Erik.",110320,110318,Flight Disruption
@AmericanAir Who do I contact?!,@140504 Our Baggage team is available via 800-535-5225. https://t.co/zSdeH87Yqc,110322,110324,Refund & Compensation
@AmericanAir I have filed! I received a call but no one was on the other line! When I called back I had to leave a voicemail!! I demand reimbursement for the clothes and shoes I'll have to buy today!!,@140504 Our team can approve temporary expenses until you get your items back. Please contact them and go over all your options.,110323,110321,Flight Disruption
@AmericanAir I'm in Queens! Why is my luggage in New Jersey?!,@140504 Please file a claim with our Baggage team and we'll work hard to reunite you with them ASAP!,110327,110326,Baggage
#HappyThankGiving in two states in one day. Wouldn’t have it any other way.  Thank you @AmericanAir! Excellent travel day.,"@140505 Happy Thanksgiving, Kisha! We're glad you were on board with us today. Thanks for choosing to fly with us.",110330,110329,Flight Disruption
"Having any Black Friday deals tomorrow, @AmericanAir? #VegasDallasDC",@140506 We always have our best fares on https://t.co/rZn1O8tOMy. Please keep looking for something that works for you.,110332,110331,Check-in & Airport
"@AmericanAir I am not paying $200 to change a flight that was booked, reserved and ALREADY PAID FOR - YOU CANCELLED IT.  @140508 has lost me as a customer and after 35 years of flying your airline you are about to lose me as a customer as well.  All I want is a refund for the return trip.",@140507 Reservations must be used in the sequence that they're purchased or the ticket must be reissued.,110334,110337,Refund & Compensation
Missed @AmericanAir flight this morning. Now @140508 cancelled our Sat. return flight and wants to extort $200 more to rebook on that same flight we already paid them for.  Refusing to refund $. #badcustomerservice Thanks for ruining our family's Thanksgiving,"@140507 Were you able to take your outbound flight at a later time? If so, DM your locator and we'll take a closer look.",110336,110333,Flight Disruption
Might be the last time i fly @AmericanAir. Delayed 2hrs. Took hella long to clean the plane. Supposed to be in the air. Still look at this.. https://t.co/U4JVfmnUqW,"@140509 Our apologies, Drew. We know your time is valuable and we'll have you in the air very soon.",110341,110340,Flight Disruption
This kid is the biggest fan of @AmericanAir - I’ve done something right 🤣 https://t.co/8vv1179nt1,"@140510 What a wonderful picture, not to mention such a cutie! We love that this he's reading up on the safety card!",110343,110342,Flight Disruption
"Turns out, according to seat mate, this catering failure @AmericanAir started 11.1.17. Should have known problem when saw flight crew carrying own lunch on board. Wish I’d followed their lead! #LAX is @AmericanAir on the @5576 program?","@140511 Rick, please DM your record locator so we can review your trip. Many of our specialists have contacted our customers with an email.",110345,110344,Seats & Upgrades
"@AmericanAir why is the DCA club closed right now? Posted hours say until 2, but was turned away 5 minutes ago","@140512 We're sorry for any inconvenience and misinformation, but we'll see you back with us soon.",110347,110346,Other / General Support
Lost my baby's passport on @AmericanAir flight 2624/835. Is there any way to expedite the lost and found process? We have a trip in a few days.,@140513 We'll be more than happy to reach out to the right team about this. Please meet us in DM with more personal info and record locator.,110349,110348,Onboard Services
"My 2.5-hour @AmericanAir delay turned into a 3 hr 35 min delay, and I found teabags in my suitcase but @DunkinDonuts charged me a dollar for a cup of hot water! Real #Thanksgiving spirit https://t.co/MAZ4cliSxQ",@140514 We'll be glad to review your trip as soon as you arrive at your final destination. Please follow us and meet us in DM.,110351,110350,Flight Disruption
thankful for everything but @SouthwestAir and @AmericanAir for cancelling my  flights :))))),@140946 We're sorry for any inconvenience. Please reach to us with your record locator for more details.,112362,112361,Onboard Services
@AmericanAir all this back and forth w/o resolving anything.. the actual issue is about gate agents being rude and ridiculously unhelpful on a holiday when the travel stress levels is peak high,"@140947 We know the airport can be busy and stressful, but that's no excuse. We're sorry our team was unable to help more.",112364,112363,Other / General Support
@AmericanAir Can you help?,@140947 We can take a peek at what's available for today. Send a DM our way with your 6 letter record locator code.,112366,112365,Booking & Payment
"@AmericanAir hey AA, flight departed infringe of my eyes because of delay at TSA and gate agent can’t get us on flight on this holiday.. this is what I get for bein loyal to AA #PlatinumProFail","@140947 It's upsetting to miss final boarding, we understand. Please work with our gate team for the next available flight to your destination.",112369,112367,Flight Disruption
"@americanair, When is the new @140949 service launching in Business class?",@140948 We'll have everything up and running in December. Take a look her for more info: https://t.co/2l3PoK3sPo,112371,112370,Other / General Support
@AmericanAir with the mess today with delays at your fault. Crossing my fingers this flight doesnt get cancelled.,"@141328 Delays are never ideal and we do all we can to avoid cancellations, our apologies. We'll have you on your way as quickly as we can.",114024,114023,Flight Disruption
"@AmericanAir Thank you so much for your response. No, my dad confirmed that the booking was made through American Airlines website from France. Only the office from France can make the modification? And, yes they open before my flight, at 11pm (PST) today.","@141329 Hmm, send us a quick DM with your 6 letter record locator with the proper spelling. We'll take closer look with you.",114026,114028,Refund & Compensation
"@AmericanAir Hello, I have a misspell in my last name's reservation for tomorrow's flight. Called your service who redirected me to the office in France where the reservation was made (office is closed right now). What can I do? Thanks for your help.",@141329 It sounds like you booked this thru your travel agency and corrections like these have to be made by them. Are they open before your flight?,114027,114025,Baggage
It would be amazing if old American Airlines would come in and out more often in kcvg airport @AmericanAir,@141330 Our routes and schedules are constantly changing. There's always a possibility!,114031,114030,Refund & Compensation
"@Americanair 4th delay text now this morning keep losing time, from 2:01 departure to 6:15?!?!? That’s not right. That’s half a work day!",@141331 Our apologies for the wait and we appreciate your patience. We'll have you up and on your way as quickly as we can.,114033,114032,Flight Disruption
@AmericanAir It's been 24 hours and still nothing. I demand compensation. THIS CANNOT be happening. I have received 0 support from your local reps.,"@141332 This can be frustrating, we know. We've already escalated this to the highest and appropriate team. We'll update you as soon as possible.",114035,114034,Other / General Support
"Porque lo bueno hay que reconocerlo, hoy me tocó un avión diferente y mucho más cómodo de @AmericanAir que hace un mes.",@141333 We're thrilled to be sharing the skies with you today!,114039,114038,Flight Disruption
@AmericanAir stuck in detainment in the RIO airport all day. Been waiting hours for someone who speaks English to let me in terminal to shower and eat. FINALLY. Help please??,@141334 Please continue working with our airport team directly.,114042,114040,Other / General Support
"Come on @AmericanAir, get it together! Two hours on the plane and counting... https://t.co/aRjrY2YJXN",@141335 We feel your frustration and we're sorry for the delay. Our team is working hard to get you wheels up and on your way ASAP!,114045,114043,Flight Disruption
I'm #ThankfulFor @6546 @141337 @141338 @141339 @6547 and @AmericanAir. #Thanksgiving,"@141336 We're thankful for you too, Asher. Happy Thanksgiving!",114047,114046,Flight Disruption
"@AmericanAir Happy thanksgiving 🦃 to my hometown airline, which is also my favorite.  #concieragekey makes flying amazing. #AmericanAirlines",@141340 Happy Thanksgiving to one of best and favorite customers! We appreciate you very much.,114049,114048,Seats & Upgrades
"@AmericanAir Also, what flights and fares are considered more restrictive?","@141341 Usually, First Class or full fare tickets allow you to make voluntary changes and it's even refundable without any penalties.",114101,114098,Onboard Services
Lesson learned: fly only w/ @SouthwestAir. What is the reason for charging $200 to change a flight @Delta @AmericanAir 5 months in advance?,"@141341 Some fares are more restrictive when making voluntary changes, Laura. Please continue to work with our Reservations team at 800-433-7300.",114105,114102,Onboard Services
Nice and clear day at O'hare - downtown visible. @AmericanAir https://t.co/LLHoQ4LdT6,"@141342 What a beautiful day in the #windycity, Ricardo. Thanks for capturing today's events!",114108,114107,Flight Disruption
@AmericanAir just give us a real expectation. Maybe we would like to go home and be with family.,@141343 Our maintenance team is working on your flight and our gate team will have more information for you soon.,114110,114109,Flight Disruption
Grateful for a smooth plane ride today ONT -&gt; TPA #americanview @AmericanAir https://t.co/ZCxUA62lor,@141665 Our pleasure! We look forward to doing it again soon. #AAdventure,115468,115467,Flight Disruption
@AmericanAir The difference between main cabin and economy was to pick a seat and have a carry on bag. I prefer to check a bag. So it was more to pick the seat i wanted. I want a refund.,@141666 Premium seats are simply an option that we offer. You're not required to purchase them.,115470,115472,Baggage
"@AmericanAir booked a flight, paid for main cabin to pick my seat, no seats available without extra charge. What a rip off.","@141666 Karen, we don't require you to pay for seats, your ticket alone is enough. We'll assign you a seat at the gate if there are none available.",115471,115469,Seats & Upgrades
@AmericanAir since Ur the offical airline of @6611 and I’m flying Ur airline to Charlotte for the ACC Championship Game.  Can I get a free upgrade 🙌🏻 #GoCanes https://t.co/OZCuNlukG0,@141667 We don't have the powers to provide free upgrades. Give our team a call to go over possible upgrade options via 800-433-7300.,115474,115473,Seats & Upgrades
"Hi there @AmericanAir I had my 9:30am Thanksgiving flight from DCA to BOS delayed until 2:00pm, flight staff was great, but is there anything you can do to help me out?","@141668 We wouldn't mind taking a look at what happened. Send us your record locator via DMs, please.",115476,115475,Flight Disruption
". @AmericanAir Just has a WONDERFUL booking experience - traveling w/ 2 small Poodles. 1 is Emotional Support. I was very anxious about the process, but Special Services Rep, Sharon, was AMAZING and put me completely at ease. #holidaze 🐩❤️🤘🏽✈️",@141669 Sharon is truly one of a kind and yet again this goes to prove how #AAmazing she is. We'll be sure to pass your kudos along. #AATeam,115478,115477,Booking & Payment
@AmericanAir what's up with DFW to ORD? Our Marine only has 96 and is spending Thanksgiving and his 96 in Dallas #disappointed,@141670 What's their flight number? We see your DM and will respond there shortly.,115481,115479,Onboard Services
@AmericanAir baggage in PGH IS ALL MESSEAD get some supervision is ground cree extending our time ro get overtime?,@141671 Our team does their best to get you reunited with your things as quickly as they can.,115483,115482,Baggage
"Stuck at Miami International for more than 3 hours with an infant thanks to a malfunctioning plane @AmericanAir. No food,no vouchers..","@141672 We're glad to see you're off and on your way now, our apologies for the extended wait and travel time.",115485,115484,Other / General Support
@AmericanAir U already made me pay extra to get cramped seats I had - $250 over the price of tickets to select seats. U now suggest paying more to be comfortable?,"@141673 It's just something we offered and so we wanted to share it with you, our apologies if we've upset you.",115487,115489,Seats & Upgrades
@AmericanAir Just keeps getting better with @AmericanAir. We pay $25 a piece to check our bags to destination at check in. Passengers at gate get same svc for free because flight is full.,"@141673 Bags that fit within the carry on size limits may be asked to be checked at the gate, anything larger will need to be checked before.",115491,115492,Baggage
@AmericanAir You’re missing the point - again. They didn’t check their bags to avoid your fees. Once they get to the gate they’re offered the same service for free that others of us had to pay for. How is that fair?,@141673 We don't want you to get the impression that they're getting their bags for free at the gate while charging $25 at the ticket counter.,115493,115494,Baggage
@AmericanAir You’re missing the point - again. They didn’t check their bags to avoid your fees. Once they get to the gate they’re offered the same service for free that others of us had to pay for. How is that fair?,"@141673 We're sorry for any confusion. If there's limited space on board, we'll gate check our customer's carry-on bag, which they get for free.",115493,115495,Baggage
@AmericanAir has their economy seats so close to one another it is just plain uncomfortable to fly on their airplanes.,"@141673 We do offer Main Cabin Extra seats which come with additional legroom, take a look: https://t.co/N9kHMrvr7b",115488,115486,Baggage
@AmericanAir Yes well we did. Want to make sure our return flight doesn’t face the same problem link to requesting??,@141674 We've received your DM and will follow-up with you there shortly.,115499,115501,Check-in & Airport
@AmericanAir on another flight. Our pre picked meals didn’t transfer over to the flight change. 😡... who eats shrimp 🍤 now I won’t have food.,"@141674 We see that you were affected by a schedule change however, we're not showing you requested a meal. Our apologies for any inconvenience.",115500,115498,Flight Disruption
@AmericanAir Technical snags understandable but ground staff being flat out rude not acceptable.,@141675 We expect our team to always provide the best service and we apologize for any rudeness. We'll be wheels up soon and have you on your way.,115503,115502,Other / General Support
"@141677 might have the happiest airport employees I’ve ever encountered on Thanksgiving Day. From @120943 check-in to @AmericanAir ticket and gate agents, every person is smiling and kind! #thankful #thanksgiving #smilesmaketravelbetter",@141676 We love providing excellent service to our greatest flyers and we're glad we get to spend the day with you!,115505,115504,Flight Disruption
@AmericanAir Can you send someone to my hotel? Im just 10 miles from the airport.,"@142013 That's not possible. Sorry, Ajay.",116768,116770,Loyalty / AAdvantage
@AmericanAir I'm already back at my hotel. Do you expect me to travel to the airport to show you the damage?,"@142013 You're frustrated, we get it. In order for us to file a claim for possible reimbursement, we'll need to inspect your bag.",116769,116767,Baggage
@AmericanAir Thanks for damaging my suitcase in spite of paying a total of 60 USD for 2 pieces of luggage. #Thanksgiving2017,"@142013 Oh, please file a report with our Baggage team at the airport. They'll physically assess any damages done to your bag.",116772,116771,Baggage
"@AmericanAir 2223 holler at me If you have travel voucher. This is ridiculous! Sending broken planes to replace your initial broken plane (not directing this at u, customer service angel, just ur company)","@142014 We've got a current 5p departure time and we're working hard to get you on your way. Once you arrive in LAX, please follow-up in DM.",116774,116776,Other / General Support
"@AmericanAir Garbage service! Been waiting in Chicago for 5 hours. Telling us Boarding time, then just kidding please sit down. 

Some ppl have thanksgiving plans to attend!!",@142014 Our apologies for the delay in your travel plans. What's your flight number? We'd be happy to check on the status for you.,116775,116773,Baggage
@AmericanAir ...and an A320 w/o in seat power. Just a crummy product and experience all around.,@142015 We're working hard to include power on every flight. For future our standard fares do allow for seats to be booked at the time of ticketing.,116789,116790,Seats & Upgrades
@AmericanAir You're a low cost carrier without the low price.,@142015 All seats become free on the day of travel and you can speak with the gate agent to go over availability.,116791,116793,Other / General Support
"@AmericanAir Seriously, this is some Ryanair-level nonsense.

https://t.co/5UrlBxIsuk","@142015 We appreciate and value your business, Brady. Please don't hesitate to ask our crew or gate agent for alternate seating arrangements.",116780,116777,Other / General Support
@AmericanAir Thanks! Happy Thanksgiving!,@142017 You're welcome!,116796,116795,Check-in & Airport
Flying the early morning skies w/ @AmericanAir #WheelsUpWednesday #wheelsup,"@142017 Good Morning, Christian. Have a fabulous flight! #TurkeyThursday",116798,116797,Other / General Support
@AmericanAir Terrible service yesterday flight 4887 After multiple delays flight cancelled unable to book another flight driving to St Louis Poorly  informed staff with resulting shabby communications to passengers. Never fly connecting flights out of ROA again  Appropiate comp?,@142018 Please follow-up with us via DM so we may take a closer look with you.,116800,116799,Flight Disruption
@AmericanAir When are the LAX catering issues being resolved? Completely inedible stone cold Bagel and dried out blueberries to BOS 😢 https://t.co/crKDi3p0D7,@142019 We appreciate your patience and understanding while our team continues to work on this.,116802,116801,Flight Disruption
@AmericanAir an explanation would be great you say you’ll have us in the air in no time yet I get another delay almost 5 hours now,@141331 We're happy to provide an explanation. Please send us your flight details so we can take a closer look.,116804,116803,Flight Disruption
Thankful  for the @AmericanAir bonus miles 🙌🏽,@142020 We're thankful having you being part of the #AAfamily!,116806,116805,Loyalty / AAdvantage
@AmericanAir not cool to change an 11:50 am flight to 7:45 am but the worse part- adding an 11:15 am flight and not allowing my family to get on that flight. Traveling with my 87 y/o mother. #pleasefixthis,"@142021 That's not cool at all and we want to help. Please DM your record locator, Dona.",116808,116807,Flight Disruption
HAPPY THANKSGIVING to all in America and who celebrate the occasion have a great holiday!! @6600 @AmericanAir @6601 https://t.co/bJUPXSCz4t,"@142022 From our family to yours, Happy Thanksgiving!",116810,116809,Seats & Upgrades
@AmericanAir See y’all next Thursday!,@122918 We're looking forward to it!,114055,116811,Flight Disruption
Leave it to @AmericanAir to always ruin holiday travel,@142023 What's going on that has you feeling this way?,116813,116812,Flight Disruption
@AmericanAir hey we're going to Hawaii in just under a month. 7 of us. The oldest is a senior citizen and it's her 1st time flying anywhere. Do you do anything special for 1st timers?,@142024 We're looking forward to sharing the skies with them for the first time! You're always welcome to let our crew know the day of.,116815,116814,Flight Disruption
.@AmericanAir ruined Thanksgiving changed gate while on a tram back 10 MINUTES before departure wouldn’t let us on RUDE gate agents #sad,@142025 Gate changes may happen and we're sorry for any rudeness you've faced. We see you've been backed up on the next available option.,116817,116816,Flight Disruption
@AmericanAir Flight  2462 - 777 LAX to DFW might have been the worst example of premium class ever.,"@142410 We count on our team to provide stellar customer service to all our customer, Pete. We're sorry we missed the mark.",119168,119170,Onboard Services
@AmericanAir Your catering issues are beyond frustrating.,@142410 We're working hard to get things smoothed out and we appreciate you hanging in there with us while we do.,119169,119167,Flight Disruption
Seriously @AmericanAir needs to get their act together with flights departing from LAX.,"@142410 We aim to make every experience with us seamless and we're sorry for the late start, we'll be wheels up soon and on our way.",119176,119175,Onboard Services
"Hey @AmericanAir will there be another European fare sale this year? Looking for LAX-FRA, flexible dates",@142739 Keep an eye on all the fares we have to offer here: https://t.co/iJWiiS4WLg,120396,120395,Loyalty / AAdvantage
@AmericanAir Just sent you a dm. Happy Thanksgiving,"@142740 Happy Thanksgiving! We've replied to your DM, please take a look.",120398,120397,Other / General Support
@AmericanAir you changed schedule so now not legal connection at DFW by ONLY 1 minute. On 2/15 I need #1599/#2705 SNA to MIA.It was there few wks ago.Won't let me book now. PLEASE HELP. #givethanks#platinum/goldAAfamily,@142741 Schedule changes may happen based on operational needs. Please work with our Reservations team directly for new bookings.,120400,120399,Other / General Support
@AmericanAir thanks for having someone meet me at the gate to chat about the food service issues. We will see how #AmericanAirlines takes care of this. You have made me feel appreciated. Thanks.,@142985 Our pleasure.,121196,121195,Flight Disruption
@AmericanAir This is why I said I need to be compensated for this horrible experience. From the delays to the lost luggage and the lies. Being a priority member must mean headaches I guess.,@142986 We're sorry to hear that you haven't received your bag. You can view the delivery status via https://t.co/CWhl8tcyzH.,121200,121197,Flight Disruption
@AmericanAir For people to pay exorbitant flight prices... I would expect more than that automatic response. I was fully inconvenienced. All my wedding things were in the bag,@142986 We know it's frustrating and want to get you reunited as soon as possible. We're sorry for the inconvenience.,121204,121201,Baggage
@AmericanAir I believe I should be compensated for my delayed flight AND lost luggage. Now I'm sitting outside of a different airport with none of my belongings even though I was told otherwise.,@142986 Please reach out to our baggage team to file a claim so we can get you reunited soon. https://t.co/zSdeH87Yqc,121206,121205,Flight Disruption
@AmericanAir want to say thanks for service above and beyond to Joson Lam a flight attendants whom handled a difficult food service problem on AA193 from LAX to HGK. Thanks you!,@142985 They're truly a gem and we love having them in the fAAmily. We'll be sure to share this shout-out with them and our #AATeam!,121208,121207,Other / General Support
"@americanair missed Thanksgiving dinner tonight in Dallas due to a mechanical failure on the first flight, cockpit error message delay on the second flight that we were rescheduled to fly on. No turkey or pie for me today 😔",@142987 We're truly sorry for the delays today. We'll have you on your way as soon as possible.,121210,121209,Flight Disruption
@AmericanAir great service in spite of holiday travelers. Thank you and Happy Thanksgiving!,@142988 We love taking care of our travelers whenever and however we can. Happy Thanksgiving!,121212,121211,Other / General Support
"Love that @AmericanAir has soy creamer in the Admirals Club, but it should be in-flight, too! Can you please add #vegan creamer to EVERY American Air experience?",@142989 We're glad to hear that you enjoyed it and we appreciate your feedback.,121214,121213,Other / General Support
"Umm, @AmericanAir: how can my flight to DCA depart in 15 mins from gate d49 when the prior flight is still here? Your app says plane arrived at 7, but agents, app say it’s at this gate. Help?","@143233 We're showing your flight into DCA, AA2343, is scheduled to depart by 9:20p. Please continue working with our airport team for updates.",122169,122168,Flight Disruption
@AmericanAir It is. Please follow me so I can DM you.,@143234 We've followed you!,122171,122170,Other / General Support
@AmericanAir I'm trying to check-in and I can't. Help please!,@143234 Is it within 24 hours? DM your record locator and we'll check on your reservation.,122173,122172,Check-in & Airport
A big thank you to everyone at @AmericanAir @135122 for exceeding my expectations over the last 12 days London-Boston-Toronto-NYC-Atlanta-Miami-Dallas-Vancouver-Dallas-Costa Rica-Miami-London. All to often you only hear about the bad things. Happy Thanksgiving 🦃! https://t.co/4X4y7XDPdm,"@143235 Thanks, James! Happy to fly with you and we definitely appreciate the kind words. Happy Thanksgiving!",122175,122174,Seats & Upgrades
Truly a happy thanksgiving. Finally flying @AmericanAir B 787  Dreamliner in F class. DFW&gt;ORD. So fab.,@143414 Fabulous indeed! #winning,122835,122834,Onboard Services
@AmericanAir my flight back to NOLA is delayed. Kinda putting a damper on my holiday,@143415 We don't ever want to get in the way of your holiday and our crew will have you on your way ASAP. Thanks a lot for your patience.,122837,122836,Flight Disruption
@AmericanAir @143417 Totally missing Thanksgiving day. Not to mention being exhausted. This is is pure Fuckery! 😭,@143416 Seamless travel is always our goal and we're sorry for any delay to their travels. Please have them reach out to us directly for assistance.,122840,122838,Baggage
"@AmericanAir DTBVXO MSY to JFK (Nov. 18) AA tick: 0012158376700

BLOBYL JFK to MAD to Nice (Nov. 17) AA t: 
0012147175635
The ticketing agent we spoke to was ""George"" . We asked to change to an earlier flight to JFK on same day (17th), to connect to my AAflight to Nice.",@143418 Please follow and meet us in DM with details on your ticket and we'll take a closer look.,122844,122845,Flight Disruption
@AmericanAir Didn't I supply you with this data! I just retweeted the ticket nos. and record locators to you. Please acknowledge. Do you need this all again? What is DM?,@143418 It's a direct message. We'll DM you and you can respond there.,122846,122847,Booking & Payment
@AmericanAir Please respond. The DM wanted all this information that I tweeted to you. This seems like a bit of runaround.,"@143418 We see your DM, Richard. We're a small team here to answer every Tweet. We appreciate your patience. We're currently reviewing your info.",122848,122851,Other / General Support
"@AmericanAir You ruined my Thanksgiving. You need to see why you had me booked on a flight from New Orleans to New York, while you had me ticketed (both tickets were booked by #AmericanAirlines @AmericanAir) AA from Madrid to Nice. How could I be on two continents at the same time? Contact me","@143418 We'll gladly take a look and clear things up, if you can please DM your record locators.",114057,122843,Flight Disruption
"@AmericanAir You might want to remind your folks then, because that's not what I received. I pay for first class, I expect to get a first class greeting. However, everyone should get a smile and hello, regardless of how they look, who they are or what class ticket they purchased.",@143603 We appreciate your feedback on this and always work to make you feel welcomed.,123527,123524,Onboard Services
"@AmericanAir I guess I have to pay extra to get some smiles and hellos from the crew... or be a young, good looking male. I get it's a holiday, but come on folks!! #whatamipayingfor #iminfirstclasstoo","@143603 We count on our team members to always greet our customers with a smile and be courteous, Amanda. #AllYearLong",123529,123528,Onboard Services
@AmericanAir My most favorite is BOS based Flight attendant is Lorena Fosano  !! Her white pearl necklace &amp; Departchaaahh Boston Accent,"@136905 Our Lorena is so fantastic, thanks for your kind words for our #AATeam!",123531,123533,Check-in & Airport
@143604 @AmericanAir Thank you !!!  That is Awesome !!! #AATeam peeps have been amazing !,@136905 Thanks for your kind works!,123532,123530,Other / General Support
We have been waiting for at least 20 minutes for @AmericanAir to give us our bags!!! #ThanksgivingTravel #CustomerExperience #Thanksgiving 😡😡😡,@143605 Our crew will have them to you as soon as they can! Thanks a lot for your patience.,123542,123541,Baggage
"@americanair For the BusinessExtra PlanAhead awards, how do I know if there's space on a flight before redeeming that Award Code? Eg: AA 1625 on Saturday and returning on 1372 on Monday. I don't want to process the award if there's not going to be space.",@143606 Give our team a call at 800-882-8880 and they'll be happy to look into this with you!,123545,123544,Seats & Upgrades
@AmericanAir Understand and think an hour or two is reasonable. But maybe I booked my flight at a certain time because I had plans 6 hours before the flight.,"@143785 If you DM your record locator, then we'd be happy to take a closer look.",124197,124199,Flight Disruption
"Really @AmericanAir, you can just move a flight up 6 hours?!","@143785 We're so sorry, Marissa. Schedule changes can occur based on operation needs. Please contact Reservations at 800-433-7300 for rebooking.",124198,124196,Other / General Support
